时间,油压,排  量,总 液 量,砂 浓 度,总 砂 量,滑溜水1低粘,滑溜水1低粘总量,滑溜水4高粘,滑溜水4高粘总量
HH:mm:ss,MPa,m3/min,m3,kg/m3,m3,L/min,L,L/min,L
14:47:40,0.45,0.41,0,0,0,0,0,0,0
14:47:41,0.45,0.4,0,0,0,0,0,0,0
14:47:42,0.45,0.4,0,0,0,0,0,0,0
14:47:43,0.45,0.4,0,0,0,0,0,0,0
14:47:44,0.45,0.41,0,0,0,0,0,0,0
14:47:45,0.45,0.41,0,0,0,0,0,0,0
14:51:32,0.45,0.41,0,0,0,0,0,0,0
14:51:33,0.39,0.2,0.1,0,0,0,0,0,0
14:51:34,0.36,0.1,0.1,0,0,0,0,0,0
14:51:35,0.34,0.05,0.1,0,0,0,0,0,0
14:51:36,0.34,0.03,0.1,0,0,0,0,0,0
14:51:37,0.33,0.01,0.1,0,0,0,0,0,0
14:51:38,0.34,0.01,0.1,0,0,0,0,0,0
14:51:39,0.35,0,0.1,0,0,0,0,0,0
14:51:40,0.36,0,0.1,0,0,0,0,0,0
14:51:41,0.36,0,0.1,0,0,0,0,0,0
14:51:42,0.36,0,0.1,0,0,0,0,0,0
14:51:43,0.36,0,0.1,0,0,0,0,0,0
14:51:44,0.39,0,0.1,0,0,0,0,0,0
14:51:45,0.42,0,0.1,0,0,0,0,0,0
14:51:46,0.44,0,0.1,0,0,0,0,0,0
14:51:47,0.46,0,0.1,0,0,0,0,0,0
14:51:48,0.48,0,0.1,0,0,0,0,0,0
14:51:49,0.52,0,0.1,0,0,0,0,0,0
14:51:50,0.57,0,0.1,0,0,0,0,0,0
14:51:51,0.73,0,0.1,0,0,0,0,0,0
14:51:52,1.51,0,0.1,0,0,0,0,0,0
14:51:53,3.36,0,0.1,0,0,0,0,0,0
14:51:54,5.75,0,0.1,0,0,0,0,0,0
14:51:55,7.68,0.04,0.1,0,0,0,0,0,0
14:51:56,8.89,0.08,0.1,0,0,0,0,0,0
14:51:57,9.54,0.11,0.1,0,0,0,0,0,0
14:51:58,9.92,0.13,0.1,0,0,0,0,0,0
14:51:59,11.44,0.14,0.1,0,0,0,0,0,0
14:52:00,14.43,0.14,0.1,0,0,0,0,0,0
14:52:01,18.17,0.14,0.1,0,0,0,0,0,0
14:52:02,22.03,0.14,0.1,0,0,0,0,0,0
14:52:03,25.67,0.13,0.1,0,0,0,0,0,0
14:52:04,28.25,0.08,0.1,0,0,0,0,0,0
14:52:05,29.55,0.04,0.1,0,0,0,0,0,0
14:52:06,30.2,0.02,0.1,0,0,0,0,0,0
14:52:07,30.51,0.01,0.1,0,0,0,0,0,0
14:52:08,30.65,0,0.1,0,0,0,0,0,0
14:52:09,30.69,0,0.1,0,0,0,0,0,0
14:52:10,30.69,0,0.1,0,0,0,0,0,0
14:52:11,30.68,0,0.1,0,0,0,0,0,0
14:52:12,30.67,0,0.1,0,0,0,0,0,0
14:52:13,30.65,0,0.1,0,0,0,0,0,0
14:52:14,30.62,0,0.1,0,0,0,0,0,0
14:52:15,30.59,0,0.1,0,0,0,0,0,0
14:52:16,30.57,0,0.1,0,0,0,0,0,0
14:52:17,30.54,0,0.1,0,0,0,0,0,0
14:52:18,30.53,0,0.1,0,0,0,0,0,0
14:52:19,30.51,0,0.1,0,0,0,0,0,0
14:52:20,30.5,0,0.1,0,0,0,0,0,0
14:52:21,30.46,0,0.1,0,0,0,0,0,0
14:52:22,30.45,0,0.1,0,0,0,0,0,0
14:52:23,30.43,0,0.1,0,0,0,0,0,0
14:52:24,30.41,0,0.1,0,0,0,0,0,0
14:52:25,30.41,0,0.1,0,0,0,0,0,0
14:52:26,30.4,0,0.1,0,0,0,0,0,0
14:52:27,30.38,0,0.1,0,0,0,0,0,0
14:52:28,30.38,0,0.1,0,0,0,0,0,0
14:52:29,30.36,0,0.1,0,0,0,0,0,0
14:52:30,30.35,0,0.1,0,0,0,0,0,0
14:52:31,30.35,0,0.1,0,0,0,0,0,0
14:52:32,30.34,0,0.1,0,0,0,0,0,0
14:52:33,30.34,0,0.1,0,0,0,0,0,0
14:52:34,30.32,0,0.1,0,0,0,0,0,0
14:52:35,30.3,0,0.1,0,0,0,0,0,0
14:52:36,30.29,0,0.1,0,0,0,0,0,0
14:52:37,30.28,0,0.1,0,0,0,0,0,0
14:52:38,30.28,0,0.1,0,0,0,0,0,0
14:52:39,30.27,0,0.1,0,0,0,0,0,0
14:52:40,30.26,0,0.1,0,0,0,0,0,0
14:52:41,30.25,0,0.1,0,0,0,0,0,0
14:52:42,30.25,0,0.1,0,0,0,0,0,0
14:52:43,30.25,0,0.1,0,0,0,0,0,0
14:52:44,30.25,0,0.1,0,0,0,0,0,0
14:52:45,30.25,0,0.1,0,0,0,0,0,0
14:52:46,30.23,0,0.1,0,0,0,0,0,0
14:52:47,30.23,0,0.1,0,0,0,0,0,0
14:52:48,30.22,0,0.1,0,0,0,0,0,0
14:52:49,30.22,0,0.1,0,0,0,0,0,0
14:52:50,30.22,0,0.1,0,0,0,0,0,0
14:52:51,30.22,0,0.1,0,0,0,0,0,0
14:52:52,30.22,0,0.1,0,0,0,0,0,0
14:52:53,30.22,0,0.1,0,0,0,0,0,0
14:52:54,30.21,0,0.1,0,0,0,0,0,0
14:52:55,30.2,0,0.1,0,0,0,0,0,0
14:52:56,30.2,0,0.1,0,0,0,0,0,0
14:52:57,30.19,0,0.1,0,0,0,0,0,0
14:52:58,30.19,0,0.1,0,0,0,0,0,0
14:52:59,30.19,0,0.1,0,0,0,0,0,0
14:53:00,30.19,0,0.1,0,0,0,0,0,0
14:53:01,30.19,0,0.1,0,0,0,0,0,0
14:53:02,30.19,0,0.1,0,0,0,0,0,0
14:53:03,30.19,0,0.1,0,0,0,0,0,0
14:53:04,30.18,0,0.1,0,0,0,0,0,0
14:53:05,30.16,0,0.1,0,0,0,0,0,0
14:53:06,30.14,0,0.1,0,0,0,0,0,0
14:53:07,30.14,0,0.1,0,0,0,0,0,0
14:53:08,30.13,0,0.1,0,0,0,0,0,0
14:53:09,30.13,0,0.1,0,0,0,0,0,0
14:53:10,30.13,0,0.1,0,0,0,0,0,0
14:53:11,30.13,0,0.1,0,0,0,0,0,0
14:53:12,30.13,0,0.1,0,0,0,0,0,0
14:53:13,30.13,0,0.1,0,0,0,0,0,0
